Index, Type, Type(name), PhysicalStart, NumberOfPages, Attribute
104, 0, EfiReservedMemoryType    , 00000000076ED000, 80, F
105, 9, EfiACPIReclaimMemory     , 000000000776D000, 12, F
106, A, EfiACPIMemoryNVS         , 000000000777F000, 80, F
107, 4, EfiBootServicesData      , 00000000077FF000, 601, F
108, 7, EfiConventionalMemory    , 0000000007E00000, 77, F
109, 4, EfiBootServicesData      , 0000000007E77000, 20, F
110, 3, EfiBootServicesCode      , 0000000007E97000, 33, F
111, 4, EfiBootServicesData      , 0000000007ECA000, 11, F
112, 3, EfiBootServicesCode      , 0000000007EDB000, 19, F
113, 6, EfiRuntimeServicesData   , 0000000007EF4000, 84, F
114, A, EfiACPIMemoryNVS         , 0000000007F78000, 88, F
115, 0, EfiReservedMemoryType    , 000000FD00000000, 300000, 0
